,BAA10YM,BAA_YEILD_10Y_M_PCT_CHG,BAA_YEILD_10Y_Q_PCT_CHG,BAA_YEILD_10Y_A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,BAA_YEILD_10Y_3A_PCT_CHG
2001-03-01,2.95,0.06498194945848379,0.06498194945848379,0.22406639004149387,0.28260869565217406,0.745562130177515
2001-04-01,2.93,-0.006779661016949157,0.057761732851985714,0.1910569105691058,0.34403669724770647,0.7757575757575759
2001-05-01,2.68,-0.08532423208191131,-0.09152542372881356,0.12605042016806745,0.26415094339622636,0.6441717791411046
2001-06-01,2.69,0.003731343283581934,-0.08191126279863492,0.16956521739130448,0.24537037037037024,0.5917159763313609
2001-07-01,2.73,0.014869888475836479,0.018656716417910335,0.12345679012345667,0.23529411764705888,0.5166666666666666
2001-08-01,2.88,0.05494505494505497,0.07063197026022294,0.12941176470588234,0.26315789473684226,0.26315789473684226
2001-09-01,3.3,0.14583333333333326,0.20879120879120872,0.26923076923076916,0.45374449339207046,0.24528301886792447
2001-10-01,3.34,0.0121212121212122,0.15972222222222232,0.3046875,0.5754716981132073,0.33067729083665354
2001-11-01,3.16,-0.053892215568862145,-0.042424242424242364,0.13669064748201443,0.6544502617801049,0.22480620155038755
2001-12-01,2.96,-0.06329113924050633,-0.11377245508982037,0.06859205776173294,0.7724550898203593,0.15175097276264604
2002-01-01,2.83,-0.04391891891891886,-0.10443037974683544,0.02166064981949467,0.5988700564971752,0.18410041841004188
2002-02-01,2.98,0.053003533568904526,0.006756756756756799,0.010169491525423568,0.41232227488151674,0.29565217391304355
2002-03-01,2.83,-0.05033557046979864,0.0,-0.03412969283276457,0.17427385892116187,0.23043478260869588
2002-04-01,2.82,-0.0035335689045937757,-0.05369127516778527,0.05223880597014907,0.14634146341463405,0.29357798165137594
2002-05-01,2.93,0.03900709219858167,0.035335689045936425,0.08921933085501865,0.23109243697478998,0.3820754716981132
2002-06-01,3.02,0.030716723549488067,0.07092198581560294,0.1062271062271063,0.31304347826086976,0.39814814814814814
2002-07-01,3.25,0.07615894039735105,0.10921501706484626,0.12847222222222232,0.3374485596707819,0.47058823529411775
2002-08-01,3.32,0.021538461538461506,0.0993377483443707,0.0060606060606061,0.3019607843137255,0.45614035087719307
