,HSN1F_M,HSN1F_M_PCT_CHG,HSN1F_Q_PCT_CHG,HSN1F_A_PCT_CHG,HSN1F_2A_PCT_CHG,HSN1F_3A_PCT_CHG
1966-08-01,377.0,-0.1333333333333333,-0.13133640552995396,-0.3577512776831345,-0.36101694915254234,-0.36101694915254234
1966-09-01,358.0,-0.050397877984084904,-0.17701149425287355,-0.354954954954955,-0.385934819897084,-0.3686067019400353
1966-10-01,387.0,0.08100558659217882,0.02652519893899208,-0.3717532467532467,-0.29379562043795615,-0.33160621761658027
1966-11-01,382.0,-0.012919896640826822,0.06703910614525133,-0.3727422003284072,-0.2925925925925926,-0.25680933852140075
1966-12-01,369.0,-0.03403141361256545,-0.046511627906976716,-0.38397328881469117,-0.3076923076923077,-0.3278688524590164
1967-01-01,416.0,0.12737127371273704,0.08900523560209428,-0.23105360443622924,-0.2558139534883721,-0.3169129720853858
1967-02-01,408.0,-0.019230769230769273,0.10569105691056913,-0.26750448833034113,-0.26618705035971224,-0.27402135231316727
1967-03-01,439.0,0.0759803921568627,0.05528846153846145,-0.1944954128440367,-0.20900900900900898,-0.21466905187835417
1967-04-01,479.0,0.09111617312072884,0.1740196078431373,-0.04008016032064132,-0.11948529411764708,-0.08413001912045892
1967-05-01,503.0,0.050104384133611735,0.14578587699316636,0.1589861751152073,-0.1807817589576547,-0.13275862068965516
1967-06-01,499.0,-0.007952286282306154,0.04175365344467652,0.1471264367816092,-0.09927797833935015,-0.13217391304347825
1967-07-01,515.0,0.03206412825651306,0.02385685884691857,0.36604774535809015,-0.16260162601626016,-0.11512027491408938
1967-08-01,504.0,-0.021359223300970842,0.01002004008016022,0.4078212290502794,-0.141396933560477,-0.1457627118644068
1967-09-01,531.0,0.0535714285714286,0.03106796116504862,0.37209302325581395,-0.043243243243243246,-0.08919382504288165
1967-10-01,566.0,0.06591337099811678,0.12301587301587302,0.48167539267015713,-0.08116883116883122,0.03284671532846706
1967-11-01,500.0,-0.11660777385159016,-0.05838041431261776,0.3550135501355014,-0.17898193760262726,-0.07407407407407407
1967-12-01,502.0,0.0040000000000000036,-0.11307420494699649,0.20673076923076916,-0.1619365609348915,-0.05816135084427765
1968-01-01,494.0,-0.015936254980079667,-0.01200000000000001,0.2107843137254901,-0.08687615526802217,-0.11627906976744184
1968-02-01,543.0,0.09919028340080982,0.0816733067729083,0.2369020501138952,-0.025134649910233398,-0.023381294964028743
1968-03-01,490.0,-0.09760589318600366,-0.0080971659919028,0.022964509394572064,-0.1009174311926605,-0.11711711711711714
