,LRUN_UEMP,UEMP_M_PCT_CHG,UEMP_Q_PCT_CHG,UEMP_A_PCT_CHG,UEMP_2A_PCT_CHG,UEMP_3A_PCT_CHG
2000-03-01,4.0815742083333335,-0.03921522256663623,-0.07547083937008381,-0.03120326780323146,-0.07150482346753029,-0.17756769714445664
2000-04-01,3.914981393,-0.04081582419675267,-0.07843044513327257,-0.07428672456476859,-0.11957494531796231,-0.20654508199422328
2000-05-01,3.958793585,0.011190906827382774,-0.0300816834550387,-0.06748081434950126,-0.11977651531236877,-0.19296901031224867
2000-06-01,4.002605777,0.011067056430021038,0.022381813654765548,-0.060726383942746986,-0.11997358330111152,-0.17923306339863954
2000-07-01,4.046417969,0.010945917345084544,0.022134112860042077,-0.018410262070897798,-0.08316350646353698,-0.14242732276278702
2000-08-01,3.9335389873333333,-0.02789602619685949,-0.017255456448782014,-0.012476877047426393,-0.08065538573393272,-0.13742800486886086
2000-09-01,3.820660005666667,-0.028696545789975936,-0.05579205239371887,-0.0061141782425835345,-0.07798405706456624,-0.13206933256159792
2000-10-01,3.707781024,-0.02954436707250807,-0.05739309157995187,-0.08094997018660344,-0.14311819069785725,-0.20070874217147172
2000-11-01,4.017167231,0.0834424160966849,0.05143279565359937,-0.049092427606303835,-0.10933747123401727,-0.17607356797748275
2000-12-01,4.3265534379999995,0.07701601382499157,0.16688483219336936,-0.019979886611449227,-0.07819455734063219,-0.15372053902468896
2001-01-01,4.635939645,0.07150869888319633,0.15403202764998336,0.09127998479651112,0.02262141714344068,-0.04876377593986936
2001-02-01,4.561887947,-0.01597339561568001,0.054393066530292744,0.11767855100760194,0.04314372494228591,-0.01572049257414776
2001-03-01,4.487836249,-0.016232686742930214,-0.031946791231359906,0.14632377487777237,0.06522652063718826,0.02091352443291572
2001-04-01,4.413784551,-0.01650053475469393,-0.032465373485860316,0.11493172256416084,0.04365731113747651,-0.007401028363225204
2001-05-01,4.549944655,0.030848833337175696,0.013839276335859907,0.13674563734084155,0.07176860660580253,0.011663794377893
2001-06-01,4.686104759,0.029925661590272767,0.06169766667435139,0.15808717609023648,0.09966726863319364,0.030302809993265623
2001-07-01,4.822264863,0.029056137453712383,0.05985132318054531,0.2259354435099068,0.1697965309961995,0.09262771215639898
2001-08-01,4.973099546333334,0.03127880521259829,0.061243783929955775,0.30163362847188946,0.2485069578726795,0.16231014840660474
2001-09-01,5.123934229666666,0.030330115439684446,0.06255761042519614,0.38194089578108437,0.33291252687494777,0.236526946469529
2001-10-01,5.274768913,0.029437279358510926,0.060660230879369115,0.3130568407247867,0.30746030991916196,0.21901846429594785
2001-11-01,5.601570807666667,0.06195567996566509,0.09321676598317152,0.2946958561676887,0.32595328797993606,0.24194710693588783
2001-12-01,5.928372702333334,0.05834111642744677,0.12391135993133018,0.27878556588355563,0.34285282065902534,0.26308534066096323
