DATE,SHARE_M
11/1/1995,1.860673597
12/1/1995,3.249254504
1/1/1996,0.404654293
2/1/1996,5.234965662
3/1/1996,0.079782701
4/1/1996,0.222037262
5/1/1996,2.111935344
6/1/1996,0.979041999
7/1/1996,-3.571757373
8/1/1996,2.625176723
9/1/1996,1.79781694
10/1/1996,3.48353764
11/1/1996,4.073403478
12/1/1996,0.735252246
1/1/1997,3.057284927
2/1/1997,3.71219064
3/1/1997,-0.441950836
4/1/1997,-3.770932458
5/1/1997,8.07026787
6/1/1997,5.469716456
7/1/1997,5.221715398
8/1/1997,0.124333566
9/1/1997,1.704946483
10/1/1997,1.940719521
11/1/1997,-1.434868593
12/1/1997,2.554980909
1/1/1998,-0.104109042
2/1/1998,5.558684064
3/1/1998,5.363514704
4/1/1998,3.095268599
5/1/1998,-0.620935216
6/1/1998,-0.819203891
7/1/1998,2.919340307
8/1/1998,-8.053915175
9/1/1998,-6.046600914
10/1/1998,0.972792585
11/1/1998,10.31700096
12/1/1998,2.074795024
1/1/1999,3.37988995
2/1/1999,-1.130292204
3/1/1999,2.546069538
4/1/1999,3.985646077
5/1/1999,1.252581575
6/1/1999,-0.957716917
7/1/1999,3.066252959
8/1/1999,-4.285629844
9/1/1999,-2.118114988
10/1/1999,-1.452213186
11/1/1999,5.872462983
12/1/1999,0.62293262
1/1/2000,-0.526489615
2/1/2000,-4.680037066
3/1/2000,2.838298271
4/1/2000,3.884008632
5/1/2000,-1.061977716
6/1/2000,1.568144414
7/1/2000,0.539976299
8/1/2000,1.9932203
9/1/2000,0.212534571
10/1/2000,-3.149664307
11/1/2000,-0.12463046
12/1/2000,-0.08773099
1/1/2001,0.837621121
2/1/2001,-0.387129225
3/1/2001,-6.882013248
4/1/2001,0.558094486
5/1/2001,6.220923437
6/1/2001,-2.125187076
7/1/2001,-2.682683313
8/1/2001,-1.534596194
9/1/2001,-8.803518153
10/1/2001,0.859455815
11/1/2001,3.499864781
12/1/2001,1.299394919
1/1/2002,-0.193212107
2/1/2002,-2.099540009
3/1/2002,5.458789699
4/1/2002,-2.188944445
5/1/2002,-2.002131057
6/1/2002,-5.462930874
7/1/2002,-10.48423525
8/1/2002,0.935482744
9/1/2002,-3.992408597
10/1/2002,-2.609458461
11/1/2002,5.120406359
12/1/2002,-0.730873742
1/1/2003,-0.368127418
2/1/2003,-6.280695855
3/1/2003,-0.293998464
4/1/2003,5.388648636
5/1/2003,5.865717568
6/1/2003,5.93097822
7/1/2003,-0.284593107
8/1/2003,0.239783602
9/1/2003,2.930367488
10/1/2003,2.610886061
11/1/2003,1.679393457
12/1/2003,4.253192689
1/1/2004,5.049221467
2/1/2004,1.509800755
3/1/2004,-1.322701294
4/1/2004,0.433780752
5/1/2004,-3.429210073
6/1/2004,2.691619504
7/1/2004,-1.535015049
8/1/2004,-1.475197543
9/1/2004,3.103813576
10/1/2004,0.903357399
11/1/2004,4.965063745
12/1/2004,2.887566254
1/1/2005,-1.125860752
2/1/2005,2.648041954
3/1/2005,0.34455293
4/1/2005,-2.62975074
5/1/2005,0.285109996
6/1/2005,1.983756331
7/1/2005,1.981361964
8/1/2005,1.361889578
9/1/2005,1.324748461
10/1/2005,-2.754264672
11/1/2005,2.979426927
12/1/2005,2.591891646
1/1/2006,2.656966691
2/1/2006,0.632137337
3/1/2006,1.579549733
4/1/2006,2.089220659
5/1/2006,0.041221696
6/1/2006,-4.34769589
7/1/2006,1.564442953
8/1/2006,2.273097163
9/1/2006,1.095856721
10/1/2006,3.16285426
11/1/2006,2.421682555
12/1/2006,2.570168083
1/1/2007,0.492394567
2/1/2007,2.37994348
3/1/2007,-2.457448117
4/1/2007,4.706394447
5/1/2007,2.8846617
6/1/2007,0.729545154
7/1/2007,0.915329727
8/1/2007,-5.47810929
9/1/2007,3.475579528
10/1/2007,4.000286634
11/1/2007,-4.266427281
