,H_RATIO_M,H_RATIO_M_PCT_CHG,H_RATIO_Q_PCT_CHG,H_RATIO_A_PCT_CHG,H_RATIO_2A_PCT_CHG,H_RATIO_3A_PCT_CHG
1991-12-01,6.2,0.0,-0.07462686567164178,-0.34042553191489366,-0.11428571428571421,0.0
1992-01-01,5.2,-0.16129032258064513,-0.16129032258064513,-0.3417721518987342,-0.3157894736842105,-0.30666666666666664
1992-02-01,4.9,-0.05769230769230771,-0.20967741935483863,-0.3287671232876712,-0.3717948717948717,-0.4024390243902438
1992-03-01,6.1,0.2448979591836733,0.1730769230769229,-0.1643835616438356,-0.2650602409638555,-0.17567567567567577
1992-04-01,6.1,0.0,0.2448979591836733,-0.12857142857142867,-0.25609756097560976,-0.14084507042253525
1992-05-01,6.0,-0.016393442622950727,-0.016393442622950727,-0.1428571428571429,-0.2405063291139241,-0.16666666666666674
1992-06-01,5.6,-0.06666666666666676,-0.08196721311475408,-0.21126760563380287,-0.28205128205128205,-0.08196721311475408
1992-07-01,5.3,-0.05357142857142849,-0.1166666666666667,-0.22058823529411764,-0.35365853658536583,-0.1718750000000001
1992-08-01,5.2,-0.01886792452830177,-0.07142857142857129,-0.29729729729729726,-0.38095238095238093,-0.2676056338028169
1992-09-01,5.0,-0.03846153846153855,-0.05660377358490565,-0.25373134328358216,-0.425287356321839,-0.2753623188405797
1992-10-01,5.1,0.020000000000000018,-0.019230769230769384,-0.17741935483870974,-0.3780487804878049,-0.2272727272727273
1992-11-01,5.4,0.05882352941176494,0.08000000000000007,-0.12903225806451613,-0.3647058823529411,-0.22857142857142854
1992-12-01,5.0,-0.07407407407407418,-0.019607843137254832,-0.03846153846153855,-0.46808510638297873,-0.2857142857142857
1993-01-01,5.4,0.08000000000000007,0.0,0.1020408163265305,-0.31645569620253167,-0.2894736842105262
1993-02-01,5.3,-0.0185185185185186,0.06000000000000005,-0.13114754098360648,-0.273972602739726,-0.3205128205128205
1993-03-01,5.4,0.018867924528301883,0.0,-0.11475409836065564,-0.26027397260273966,-0.3493975903614458
1993-04-01,4.7,-0.12962962962962965,-0.1132075471698113,-0.21666666666666667,-0.3285714285714285,-0.42682926829268286
1993-05-01,5.3,0.12765957446808507,-0.0185185185185186,-0.05357142857142849,-0.24285714285714288,-0.329113924050633
1993-06-01,5.2,-0.01886792452830177,0.1063829787234043,-0.01886792452830177,-0.2676056338028169,-0.33333333333333326
1993-07-01,5.3,0.019230769230769162,0.0,0.019230769230769162,-0.22058823529411764,-0.35365853658536583
1993-08-01,5.5,0.037735849056603765,0.05769230769230771,0.10000000000000009,-0.2567567567567568,-0.34523809523809523
1993-09-01,4.9,-0.10909090909090902,-0.07547169811320742,-0.039215686274509665,-0.26865671641791045,-0.4367816091954022
1993-10-01,5.0,0.020408163265306145,-0.09090909090909094,-0.07407407407407418,-0.19354838709677424,-0.3902439024390243
1993-11-01,4.8,-0.040000000000000036,-0.020408163265306256,-0.040000000000000036,-0.22580645161290325,-0.43529411764705883
1993-12-01,4.5,-0.0625,-0.09999999999999998,-0.16666666666666674,-0.1346153846153847,-0.5212765957446809
1994-01-01,5.9,0.3111111111111111,0.22916666666666674,0.11320754716981152,0.20408163265306123,-0.25316455696202533
1994-02-01,5.0,-0.15254237288135597,0.11111111111111116,-0.07407407407407418,-0.180327868852459,-0.31506849315068497
1994-03-01,4.8,-0.040000000000000036,-0.18644067796610175,0.02127659574468077,-0.21311475409836067,-0.34246575342465757
1994-04-01,5.2,0.08333333333333348,0.040000000000000036,-0.01886792452830177,-0.1333333333333333,-0.2571428571428571
1994-05-01,5.3,0.019230769230769162,0.10416666666666674,0.019230769230769162,-0.05357142857142849,-0.24285714285714288
1994-06-01,6.2,0.16981132075471694,0.1923076923076923,0.16981132075471694,0.16981132075471694,-0.12676056338028163
1994-07-01,6.3,0.016129032258064502,0.18867924528301883,0.1454545454545455,0.21153846153846145,-0.07352941176470584
1994-08-01,6.1,-0.031746031746031744,-0.016129032258064613,0.2448979591836733,0.21999999999999997,-0.17567567567567577
1994-09-01,6.0,-0.016393442622950727,-0.04761904761904756,0.19999999999999996,0.17647058823529416,-0.10447761194029848
1994-10-01,5.6,-0.06666666666666676,-0.08196721311475408,0.16666666666666674,0.03703703703703698,-0.09677419354838723
1994-11-01,6.3,0.125,0.050000000000000044,0.3999999999999999,0.26,0.016129032258064502
1994-12-01,6.6,0.04761904761904767,0.1785714285714286,0.11864406779661008,0.2222222222222221,0.26923076923076916
1995-01-01,6.8,0.030303030303030276,0.0793650793650793,0.3599999999999999,0.28301886792452824,0.3877551020408161
1995-02-01,7.3,0.07352941176470584,0.10606060606060619,0.5208333333333333,0.35185185185185164,0.19672131147540983
1995-03-01,6.8,-0.06849315068493156,0.0,0.3076923076923077,0.44680851063829774,0.11475409836065587
1995-04-01,6.7,-0.014705882352941124,-0.0821917808219178,0.2641509433962266,0.2641509433962266,0.1166666666666667
1995-05-01,6.3,-0.059701492537313494,-0.07352941176470584,0.016129032258064502,0.21153846153846145,0.125
1995-06-01,5.8,-0.07936507936507942,-0.13432835820895528,-0.07936507936507942,0.09433962264150941,0.09433962264150941
