,RPCE_M,RPCE_M_PCT_CHG,RPCE_Q_PCT_CHG,RPCE_A_PCT_CHG,RPCE_2A_PCT_CHG,RPCE_3A_PCT_CHG
2001-07-01,1.4,0.1382113821138211,0.30841121495327095,-0.6344647519582245,-0.7238658777120316,-0.7454545454545455
2001-08-01,2.97,1.1214285714285719,1.4146341463414638,-0.1907356948228882,-0.4629294755877035,-0.47894736842105257
2001-09-01,4.53,0.5252525252525253,2.235714285714286,0.29428571428571426,-0.245,-0.23220338983050848
2001-10-01,6.1,0.3465783664459159,1.0538720538720536,1.1254355400696863,0.0,0.1663479923518163
2001-11-01,4.47,-0.26721311475409837,-0.013245033112582849,1.0044843049327352,-0.27903225806451615,-0.021881838074398363
2001-12-01,2.83,-0.3668903803131991,-0.5360655737704918,0.76875,-0.5507936507936508,-0.2743589743589743
2002-01-01,1.2,-0.5759717314487633,-0.7315436241610738,-0.12408759124087598,-0.7818181818181819,-0.7391304347826086
2002-02-01,1.5,0.25,-0.46996466431095407,0.32743362831858414,-0.6808510638297873,-0.7169811320754718
2002-03-01,1.8,0.19999999999999996,0.5,1.0,-0.5384615384615384,-0.7
2002-04-01,2.1,0.16666666666666674,0.40000000000000013,0.9626168224299065,-0.46564885496183206,-0.620253164556962
2002-05-01,2.37,0.12857142857142856,0.31666666666666665,0.9268292682926831,-0.4030226700251889,-0.5325443786982249
2002-06-01,2.63,0.10970464135021096,0.2523809523809524,0.8785714285714286,-0.3425,-0.42826086956521736
2002-07-01,2.9,0.102661596958175,0.2236286919831223,-0.023569023569023684,-0.24281984334203655,-0.42800788954635116
2002-08-01,2.7,-0.06896551724137923,0.026615969581749166,-0.4039735099337748,-0.2643051771117165,-0.511754068716094
2002-09-01,2.5,-0.07407407407407418,-0.13793103448275856,-0.5901639344262295,-0.2857142857142857,-0.5833333333333333
2002-10-01,2.3,-0.08000000000000007,-0.14814814814814825,-0.4854586129753915,-0.19860627177700363,-0.6229508196721312
2002-11-01,2.17,-0.05652173913043479,-0.132,-0.2332155477031802,-0.026905829596412634,-0.65
2002-12-01,2.03,-0.06451612903225812,-0.11739130434782608,0.6916666666666667,0.2687499999999998,-0.6777777777777778
2003-01-01,1.9,-0.064039408866995,-0.12442396313364057,0.2666666666666666,0.386861313868613,-0.6545454545454545
2003-02-01,2.8,0.4736842105263157,0.3793103448275863,0.5555555555555554,1.4778761061946901,-0.4042553191489362
2003-03-01,3.7,0.3214285714285716,0.9473684210526319,0.7619047619047619,3.1111111111111116,-0.05128205128205121
2003-04-01,4.6,0.24324324324324298,0.6428571428571428,0.9409282700421939,3.299065420560747,0.17048346055979624
2003-05-01,5.07,0.10217391304347845,0.37027027027027026,0.9277566539923956,3.1219512195121952,0.2770780856423174
2003-06-01,5.53,0.09072978303747536,0.20217391304347831,0.9068965517241381,2.9500000000000006,0.38250000000000006
2003-07-01,6.0,0.08499095840867987,0.18343195266272172,1.2222222222222219,1.0202020202020199,0.566579634464752
2003-08-01,4.9,-0.18333333333333324,-0.11392405063291133,0.9600000000000002,0.08167770419426046,0.33514986376021816
2003-09-01,3.8,-0.22448979591836749,-0.3666666666666667,0.6521739130434783,-0.3770491803278688,0.08571428571428563
2003-10-01,2.7,-0.2894736842105262,-0.44897959183673475,0.2442396313364057,-0.395973154362416,-0.059233449477351874
2003-11-01,3.0,0.11111111111111094,-0.21052631578947367,0.47783251231527113,0.060070671378091856,0.3452914798206279
2003-12-01,3.3,0.09999999999999987,0.2222222222222221,0.736842105263158,1.75,1.0624999999999996
2004-01-01,3.6,0.09090909090909105,0.19999999999999996,0.2857142857142858,1.4,1.6277372262773722
2004-02-01,3.23,-0.10277777777777786,-0.021212121212121127,-0.12702702702702706,0.7944444444444443,1.858407079646018
2004-03-01,2.87,-0.11145510835913308,-0.20277777777777772,-0.37608695652173907,0.3666666666666667,2.188888888888889
2004-04-01,2.5,-0.12891986062717775,-0.22600619195046434,-0.5069033530571992,0.05485232067510548,1.3364485981308412
2004-05-01,3.17,0.268,0.1045296167247387,-0.4267631103074141,0.2053231939163498,1.5772357723577235
2004-06-01,3.83,0.20820189274447953,0.532,-0.3616666666666667,0.3206896551724139,1.7357142857142858
2004-07-01,4.5,0.17493472584856384,0.41955835962145116,-0.08163265306122458,0.6666666666666665,0.5151515151515151
2004-08-01,4.47,-0.00666666666666671,0.16710182767624016,0.1763157894736842,0.7879999999999998,-0.013245033112582849
2004-09-01,4.43,-0.008948545861297563,-0.015555555555555656,0.6407407407407406,0.9260869565217391,-0.2737704918032787
2004-10-01,4.4,-0.006772009029345272,-0.015659955257270597,0.4666666666666668,1.0276497695852536,-0.015659955257270597
2004-11-01,3.73,-0.15227272727272734,-0.15801354401805867,0.13030303030303036,0.8374384236453203,0.3180212014134276
2004-12-01,3.07,-0.1769436997319035,-0.30227272727272736,-0.14722222222222225,0.6157894736842104,1.5583333333333331
2005-01-01,2.4,-0.21824104234527686,-0.35656836461126007,-0.2569659442724458,-0.1428571428571428,0.5999999999999999
2005-02-01,3.13,0.3041666666666667,0.019543973941368087,0.09059233449477344,-0.15405405405405415,0.7388888888888887
2005-03-01,3.87,0.2364217252396168,0.6125,0.548,-0.1586956521739129,0.8428571428571427
2005-04-01,4.6,0.18863049095607232,0.4696485623003195,0.4511041009463721,-0.09270216962524669,0.9409282700421939
2005-05-01,4.37,-0.04999999999999993,0.12919896640826867,0.14099216710182771,-0.20976491862567814,0.661596958174905
2005-06-01,4.13,-0.05491990846681927,-0.10217391304347823,-0.0822222222222222,-0.31166666666666665,0.42413793103448283
2005-07-01,3.9,-0.05569007263922521,-0.10755148741418763,-0.12751677852348986,-0.20408163265306134,0.4444444444444444
2005-08-01,3.0,-0.23076923076923073,-0.27360774818401934,-0.3227990970654627,-0.21052631578947367,0.19999999999999996
2005-09-01,2.1,-0.29999999999999993,-0.46153846153846145,-0.5227272727272727,-0.2222222222222222,-0.08695652173913038
2005-10-01,1.2,-0.4285714285714286,-0.6000000000000001,-0.67828418230563,-0.6000000000000001,-0.4470046082949308
2005-11-01,2.3,0.9166666666666665,0.09523809523809512,-0.250814332247557,-0.3030303030303031,0.13300492610837433
2005-12-01,3.4,0.4782608695652175,1.8333333333333335,0.41666666666666674,-0.05555555555555558,0.7894736842105263
2006-01-01,4.5,0.32352941176470584,0.956521739130435,0.43769968051118213,0.3931888544891642,0.6071428571428572
2006-02-01,3.67,-0.1844444444444444,0.07941176470588229,-0.05167958656330751,0.27874564459930307,-0.008108108108108136
2006-03-01,2.83,-0.22888283378746588,-0.37111111111111106,-0.38478260869565206,0.13200000000000012,-0.38478260869565206
2006-04-01,2.0,-0.29328621908127206,-0.45504087193460485,-0.5423340961098398,-0.3690851735015773,-0.6055226824457594
2006-05-01,2.13,0.06499999999999995,-0.24734982332155486,-0.4842615012106538,-0.44386422976501305,-0.6148282097649187
2006-06-01,2.27,0.06572769953051649,0.135,-0.4179487179487179,-0.4955555555555555,-0.6216666666666666
2006-07-01,2.4,0.05726872246696035,0.12676056338028174,-0.20000000000000007,-0.46308724832214765,-0.5102040816326532
2006-08-01,2.9,0.20833333333333326,0.27753303964757703,0.38095238095238093,-0.34537246049661396,-0.23684210526315785
2006-09-01,3.4,0.17241379310344818,0.41666666666666674,1.8333333333333335,-0.2272727272727274,0.2592592592592591
2006-10-01,3.9,0.1470588235294117,0.3448275862068966,0.6956521739130437,0.04557640750670244,0.30000000000000004
2006-11-01,3.37,-0.13589743589743586,-0.008823529411764675,-0.008823529411764675,0.09771986970684043,0.021212121212121238
2006-12-01,2.83,-0.1602373887240356,-0.2743589743589743,-0.37111111111111106,0.1791666666666667,-0.2138888888888889
2007-01-01,2.3,-0.187279151943463,-0.3175074183976262,-0.3732970027247957,-0.26517571884984026,-0.28792569659442735
2007-02-01,1.77,-0.23043478260869554,-0.3745583038869258,-0.3745583038869258,-0.5426356589147288,-0.3832752613240419
2007-03-01,1.23,-0.30508474576271183,-0.4652173913043478,-0.385,-0.7326086956521739,-0.508
2007-04-01,0.7,-0.43089430894308944,-0.6045197740112995,-0.6713615023474179,-0.839816933638444,-0.7791798107255521
2007-05-01,1.23,0.7571428571428573,0.0,-0.4581497797356828,-0.7021791767554479,-0.6788511749347259
2007-06-01,1.77,0.4390243902439024,1.528571428571429,-0.26249999999999996,-0.5461538461538462,-0.6066666666666667
2007-07-01,2.3,0.29943502824858736,0.8699186991869918,-0.206896551724138,-0.2333333333333334,-0.4854586129753915
2007-08-01,1.9,-0.17391304347826086,0.0734463276836157,-0.4411764705882353,-0.09523809523809534,-0.5711060948081264
2007-09-01,1.5,-0.21052631578947367,-0.34782608695652173,-0.6153846153846154,0.25,-0.6590909090909092
2007-10-01,1.1,-0.2666666666666666,-0.42105263157894735,-0.6735905044510386,-0.5217391304347825,-0.7050938337801609
2007-11-01,0.37,-0.6636363636363637,-0.7533333333333333,-0.8692579505300353,-0.8911764705882352,-0.8794788273615635
2007-12-01,-0.37,-2.0,-1.3363636363636364,-1.1608695652173913,-1.0822222222222222,-1.1541666666666668
2008-01-01,-1.1,1.9729729729729732,-3.9729729729729732,-1.6214689265536724,-1.2997275204359673,-1.351437699680511
2008-02-01,-0.53,-0.5181818181818182,0.43243243243243246,-1.4308943089430894,-1.187279151943463,-1.1369509043927648
2008-03-01,0.03,-1.0566037735849056,-1.0272727272727273,-0.9571428571428572,-0.985,-0.9934782608695653
2008-04-01,0.6,-1.5283018867924527,-2.132075471698113,-0.5121951219512195,-0.7183098591549295,-0.8627002288329519
2008-05-01,-0.6,-2.0,-3.0660377358490565,-1.3389830508474576,-1.2643171806167401,-1.145278450363196
2008-06-01,-1.8,2.0,-4.0,-1.7826086956521738,-1.75,-1.4615384615384617
2008-07-01,-3.0,0.6666666666666665,4.0,-2.5789473684210527,-2.0344827586206895,-2.0
2008-08-01,-3.23,0.07666666666666666,0.7944444444444443,-3.1533333333333333,-1.9500000000000002,-2.538095238095238
