,STOCK_MKT_M,STOCK_MKT_M_PCT_CHG,STOCK_MKT_Q_PCT_CHG,STOCK_MKT_A_PCT_CHG,STOCK_MKT_2A_PCT_CHG,STOCK_MKT_3A_PCT_CHG
1988-02-01,1.7964878686666668,0.21703064080689582,-1.3151097417484248,-0.7510086108691232,-0.8203347982257938,-0.6720569699306057
1988-03-01,2.1168519583333336,0.1783280005694876,0.43406128161379165,-0.45670055859733105,-0.7692121833328207,-0.5150967388250391
1988-04-01,2.4372160480000002,0.15133986503189378,0.356656001138975,-0.5412646111338917,-0.6058027021931676,-0.313123575792846
1988-05-01,2.1233168783333336,-0.1287941501633616,0.0030540255659115,-0.6844769309936551,-0.3350455767881564,-0.22251468449329426
1988-06-01,1.809417708666667,-0.14783434958283626,-0.2575883003267231,-0.7778799767037355,7.886176416714765,-0.05451802200671174
1988-07-01,1.495518539,-0.17348076575307447,-0.2956686991656726,-2.1921405736222996,2.6612605663014874,-0.43537444426910477
1988-08-01,1.8464931726666667,0.2346842412942276,0.020490273651251112,-1.173296824882999,2.0106509228757203,-0.4542863253296682
1988-09-01,2.1974678063333335,0.19007632352076165,0.4693684825884552,-1.1095682579482686,1.6858342285664691,-0.46644873507689677
1988-10-01,2.54844244,0.15971775907484087,0.3801526470415231,-1.1978846579614493,-0.5064008889597514,-0.6156161523682575
1988-11-01,3.543466524333333,0.39044400953130154,0.6125226108526778,-1.621535408533306,-0.6273091637038629,-0.6123679190688593
1988-12-01,4.538490608666667,0.28080527288755386,0.7808880190626031,2.0746002965559343,-0.6723726869161243,-0.610519796115143
1989-01-01,5.533514693,0.21924119054763325,0.5616105457751075,2.080184837043688,-0.47469113899614424,-0.488862662892097
1989-02-01,6.092855845666667,0.10108243741979095,0.34248506189079597,1.8782626114599767,-0.15553638449410856,-0.3906587436600347
1989-03-01,6.652196998333333,0.09180278786088114,0.20216487483958212,1.7294244200435909,0.7073158560131607,-0.27475040697032815
1989-04-01,7.211538151,0.08408367232762437,0.18360557572176228,2.396355119948272,0.35736335756384285,0.16640002206118765
1989-05-01,7.701146468666667,0.06789235630664647,0.15768466727550923,3.256146290477906,0.14438376742353554,1.4117509074584071
1989-06-01,8.190754786333333,0.06357602983642963,0.13578471261329295,4.476866098771466,0.005478522311460843,3.833173150333917
1989-07-01,8.680363104,0.059775726467065304,0.12715205967285925,3.70099929558039,-7.9194816247292295,6.254595393209426
1989-08-01,5.934497542666666,-0.316330725850398,-0.2754638983248944,1.7006072742284637,-1.5569636523133503,8.676017636084936
1989-09-01,3.188631981333333,-0.4626955427298869,-0.6326614517007959,0.25120816200711715,-1.1589888372543617,2.8972752606814263
1989-10-01,0.44276642,-0.8611422006076548,-0.9253910854597738,-0.8750470995113176,-1.0343804828405367,-0.9142420845453848
1989-11-01,-0.7085837636666666,0.38185944263497995,-1.2222218706375676,-1.1561276258484616,-0.8757121321716204,-1.0745266460550178
1989-12-01,-1.8599339473333334,1.6248610858776145,1.0137501505588302,-1.3361216244146212,-2.260012184475035,-1.1342660400166231
1990-01-01,-3.011284131,0.6190274581080724,3.249722171755228,-1.4942319672870108,-2.6762062152053057,-1.2858679021880381
1990-02-01,-0.9681394106666668,-0.6784961602593234,-0.47947645557266727,-1.1455367919665078,-1.4573486619389833,-1.1341831364066781
1990-03-01,1.0750053096666665,0.6110470960713117,-1.3569923205186467,-0.8509325906405142,-0.5589207979535402,-0.7240951206117199
1990-04-01,3.11815003,1.9005903524019465,-4.220765517491765,-0.5951057361801017,0.46852787815992203,-0.4130984950108466
1990-05-01,0.7819743406666668,-0.7492185003469294,-0.27258560154541156,-0.9045296360267764,-0.5678309453250061,-0.8837992829195482
1990-06-01,-1.5542013486666661,0.37695865038765475,-1.498437000693859,-1.1790479649348395,-2.0392391054583014,-1.1907902404842232
1990-07-01,-3.890377038,1.503135801122239,0.19764010569049195,-1.6555528939105195,-3.106900310051837,2.1011827621939916
1990-08-01,-4.4974191936666665,0.1560368441766098,1.8937172120748431,-2.410454144597164,-3.0466371251058293,-0.5779088284931408
1990-09-01,-5.104461349333333,0.134975667049563,0.31207368835321936,-1.9408386936858526,-3.002972980364168,-0.7454857194272435
1990-10-01,-5.711503505,0.1189238421299732,0.2699513340991262,-1.471223242774541,-2.611840683629588,-0.5565060054750368
1990-11-01,0.0029903866666671775,-1.0005235725871566,-1.0005858378508552,-1.0016077918632296,-0.9993411054633545,-1.0005245234252325
1990-12-01,5.717484278333334,-0.0005232987456542659,-2.0010471451743133,-2.8986864173573177,0.03324642574204395,2.8733095148745877
1991-01-01,11.43197817,0.9994769750958479,-0.6191419686306867,-1.333062286203645,0.8762922444867296,5.363515373184617
1991-02-01,10.078570927666668,-0.11838784348670017,0.7627632079129398,0.23256184495002774,0.5150740319614393,3.761112787311709
1991-03-01,8.725163685333333,-0.1342856295844581,-0.23677568697340046,1.7981859761037007,0.20988941646567372,2.5799713745087454
1991-04-01,7.371756443,-0.1551153985349707,-0.2685712591689161,-1.392534525368791,-0.04277155706709934,2.4718117291971757
1991-05-01,5.569099795333333,-0.24453556782636465,-0.36171973430197335,-4.583255026841282,-0.32007489656195753,2.077840881438659
1991-06-01,3.7664431476666667,-0.3236890545896153,-0.4890711356527292,-1.9681434757806802,-0.5660961295580997,1.5184864309239208
1991-07-01,1.9637865,-0.478609812226536,-0.6473781091792306,-1.4366474227631336,-0.6690896767786725,0.06352221013844361
1991-08-01,1.647686927,-0.16096432733395405,-0.5625350330800156,-1.322793496558691,-0.4832621209829877,-0.2501883657857499
1991-09-01,1.331587354,-0.19184443829722753,-0.3219286546679081,-1.2331413003308662,2.00742624971424,-0.47748972741169704
1991-10-01,1.015487781,-0.23738553242523508,-0.38368887659445516,-0.8660119919174158,-2.433123129642733,-0.7134196770234612
1991-11-01,2.8651303786666666,1.8214326477126428,1.1516653564334365,-0.4988826835039655,-2.540447381357024,-0.36870412969557864
1991-12-01,4.714772976333333,0.6455701323188743,3.6428652954252856,-0.587580302706847,-2.5657017973815814,-0.1479605209510676
1992-01-01,6.564415574,0.39230788140834916,1.2911402646377486,-0.3486759560345968,-7.78044453275557,0.07739551702486347
1992-02-01,4.140082015,-0.36931445483161907,-0.12189154477174191,-0.5255009345028885,2.851220061679268,-0.3776368895814012
1992-03-01,1.715748456,-0.5855762156924323,-0.7386289096632381,-0.7672537787613394,-0.449754360921498,-0.7620828705229712
1992-04-01,-0.708585103,-1.4129889206789412,-1.1711524313848647,-1.127235123995042,-1.9061487905036638,-1.0920103397439578
1992-05-01,0.04586677666666661,-1.0647300888382727,-0.9732671904752298,-0.9878222570025831,-1.029511476557407,-0.9944001770455639
1992-06-01,0.8003186563333332,-0.06102036583623649,-2.1294601776765454,-0.5924614736208171,-1.2057175046315738,-0.9078012467053898
1992-07-01,1.554770536,0.9426893571657999,-0.5869975353013861,-0.056392018093616936,-1.3457028284553618,-0.7380114281248209
1992-08-01,1.564995207,0.006576321562090648,0.9554651070737734,0.1752854232948804,-1.3065936050636167,-0.5091954116493576
1992-09-01,1.575219878,0.0065333561114222505,0.013152643124181296,0.551195304830556,-1.2757977608909827,2.5576769304230433
1992-10-01,1.585444549,0.0064909484338033785,0.013066712222844501,-0.4466413951682675,-0.9124129067072053,-3.2374835979812655
1992-11-01,2.5784250196666667,0.6263104384779508,0.6368667356714672,-0.4531178844433139,-0.5490280525234279,-2.3862992410905046
1992-12-01,3.5714054903333334,0.3851112454668304,1.2526208769559015,-0.45594463816721587,-0.6875951443202124,-2.186007475537463
1993-01-01,4.564385961,0.2780363286539014,0.7702224909336608,0.10248684554139209,-0.5471197262232573,-5.714595760394607
1993-02-01,3.348501964333334,-0.2663850092993191,-0.06241339063943563,0.9516275550903563,-0.6162247397189766,2.114870163173077
1993-03-01,2.132617967666667,-0.36311282167897485,-0.5327700185986382,-4.0096850168562845,-0.7107042284757336,-0.31606306715566634
1993-04-01,0.916733971,-0.5701368060764236,-0.7262256433579497,-1.65059137555366,-0.8353892002854422,0.1723325476619153
1993-05-01,1.3673462376666665,0.49154092781696046,-0.3588414529008668,0.7085022657489644,-0.6369661816045875,-1.8797741932470329
1993-06-01,1.8179585043333333,0.3295524237047833,0.9830818556339211,0.16927769226347977,-0.07425857936525526,-1.4672962251668866
